

 ********* STATS AS OF 10/07/2024***********


 **** Most ODI Runs (minm 10 centuries) ****
              Player Name     Total Runs  No of ODIs   Innings  No of 100s   No of 50s    Batting Avg   Hit-to-fence(4) Over-the-fence(6)   Bat Strike Rate  Profile-ID        Country
            Kagiso Rabada            157         101        99           6/16          27.78           5.06              2        9585   South Africa
             Ashish Nehra            157         120       120           6/23          31.73            5.2              2         269          India
      Ravichandran Ashwin            156         116       114           4/25          33.21           4.93              0        1593          India
         Sachin Tendulkar            154         463       270           5/32          44.48            5.1              2          25          India
            Upul Chandana            151         147       136           5/61          31.91           4.71              1         107      Sri Lanka
           Sir Ian Botham            145         116       115           4/31          28.54           4.01              0        5321        England
          Jason Gillespie            142          97        96           5/22          25.43           4.21              3          40      Australia
          Michael Holding            142         102       102           5/26          21.37           3.33              1        4167    West Indies
               Matt Henry            141          82        80           5/30           26.4           5.22              2        9067    New Zealand
           Ewen Chatfield            140         114       112           5/34          25.84           3.58              1        4025    New Zealand
          Mohammad Hafeez            139         218       177           4/41          38.86           4.19              0         360       Pakistan
         Kumar Dharmasena            138         141       134           4/37          36.22           4.28              0        3576      Sri Lanka
           Josh Hazlewood            138          90        89           6/52           27.0           4.76              3        6258      Australia
             Scott Styris            137         188       162           6/25          35.32           4.75              1          58    New Zealand
           Damien Fleming            134          88        88           5/36          25.39           4.42              1        4737      Australia
           Andrew Symonds            133         198       158           5/18          37.26           5.01              1          39      Australia
              Abdul Qadir            132         104       100           5/44          26.17           4.06              2        3678       Pakistan
            Mervyn Dillon            130         108       107           5/29          32.45           4.62              3        4233    West Indies
             Ravi Shastri            129         150       136           5/15          36.05           4.22              1        3849          India
            Jerome Taylor            128          90        88           5/48          29.53           5.22              1         379    West Indies
           Angelo Mathews            126         226       163           6/20          32.62           4.63              1        1629      Sri Lanka
           Danny Morrison            126          96        95           5/34          27.54           4.54              2        4049    New Zealand
              Kemar Roach            125          95        93           6/27           31.1           5.09              3        1359    West Indies
            Azhar Mahmood            123         143       139           6/18          39.13           4.63              3         206       Pakistan
            Mohammad Sami            121          87        85           5/10          29.48            5.0              1          31       Pakistan
               Wahab Riaz            120          91        90           5/46          34.31           5.71              1        1051       Pakistan
            Graeme Cremer            119          96        95           6/46          30.24           4.61              3         278       Zimbabwe
               Ian Bishop            118          84        83           5/25           26.5           4.33              2        4203    West Indies
             Ravi Rampaul            117          92        88           5/49          29.35           5.11              2        4265    West Indies
       Sandeep Lamichhane            116          54        53           6/11           18.6           4.39              3       11158          Nepal
            Dawlat Zadran            115          82        80           4/22          29.77           5.45              0        8029    Afghanistan
            Ishant Sharma            115          80        78           4/34          30.97           5.73              0         702          India
            Hansie Cronje            114         188       153           5/32          34.79           4.44              1        4581   South Africa
           Martin Snedden            114          93        90           4/34          28.39           4.29              0        4028    New Zealand
             Gavin Larsen            113         121       119           4/24           35.4           3.77              0        4055    New Zealand
             Yuvraj Singh            111         304       161           5/31          38.68            5.1              1          69          India
         Paul Collingwood            111         197       151           6/31          38.68      4.9700003              1          66        England
           Mudassar Nazar            111         122       104           5/28          30.92           4.24              1        3655       Pakistan
           Alzarri Joseph            111          68        67           5/56          28.45           5.47              1       11220    West Indies
           Naved-ul-Hasan            110          74        72           6/27          29.28           5.58              1        1565       Pakistan
             Daryl Tuffey            110          94        92           4/24          32.13           4.89              0         204    New Zealand
  Pramodya Wickramasinghe            109         134       132           4/48          39.64      4.5299997              0        3558      Sri Lanka
           Simon ODonnell            108          87        87           5/13          28.72           4.28              1        4705      Australia
              Nuwan Zoysa            108          95        93           5/26          29.75      4.5299997              1         109      Sri Lanka
         Mitchell Santner            107         104        99           5/50          37.01           4.87              2       10100    New Zealand
              Boyd Rankin            107          75        73           4/15          27.64           4.79              0         626        Ireland
     Tillakaratne Dilshan            106         330       204            4/4          45.08           4.88              0         105      Sri Lanka
        Aravinda de Silva            106         308       156           4/30          39.41           4.87              0        3531      Sri Lanka
          George Dockrell            106         126       106           4/24          36.57           4.86              0        6329        Ireland
             Paul Reiffel            106          92        92           4/13          29.21           3.93              0        4730      Australia
                Andre Nel            106          79        76           5/45          27.69           4.63              1         221   South Africa
              Umesh Yadav            106          75        73           4/31          33.63           6.01              0        1858          India
             Grant Flower            104         221       156           4/32          40.62           4.64              0        3413       Zimbabwe
             Graeme Swann            104          79        76           5/28          27.77           4.55              1         814        England
           Shaheen Afridi            104          53        52           6/35          23.94           5.54              3       12160       Pakistan
            Dennis Lillee            103          63        63           5/34          20.83            3.6              1        4636      Australia
            Chris Pringle            103          64        64           5/45          23.87           4.45              1        4059    New Zealand
           Safyaan Sharif            102          82        81           5/33          31.04           4.98              2        7966       Scotland
         Mujeeb Ur Rahman            101          75        74           5/50          28.35           4.33              1       12071    Afghanistan
               Bilal Khan            101          49        49           5/31          20.97           5.06              4       10824           Oman
           Sourav Ganguly            100         311       171           5/16          38.49           5.06              2          29          India
             Roger Harper            100         105        99           4/40          34.31           3.98              0        4189    West Indies
             David Willey            100          73        72           5/30          29.75      5.5299997              1        6592        England
                Hasan Ali            100          66        64           5/34          30.84            5.8              4       11320       Pakistan
         Winston Benjamin            100          85        85           5/22          30.79           4.16              1        4198    West Indies
         Charl Langeveldt            100          72        71           5/39          29.62           5.09              2         215   South Africa

