

 ********* STATS AS OF 10/03/2024***********

 **** IPL Stats - most runs (minm 500 runs) ****

              Player Name         Runs in IPL   Matches   Innings    Strike Rate     Sixes     Fours   Average  Highest score   Fifties   IPL-Hundreds  Profile-ID
            David Hussey                 1291        64        59         122.25        58        88     26.35             71         5              0         562
         Shimron Hetmyer                 1243        72        66         153.08        82        76     31.08             75         4              0        9789
            Kedar Jadhav                 1208        95        81         123.14        40       102     22.37             69         4              0        1851
             Riyan Parag                 1173        69        58         135.14        60        84     24.44             84         6              0       12305
               Moeen Ali                 1162        67        57         141.53        67        95     22.78             93         6              0        6692
             Tilak Varma                 1156        38        38         146.33        58        90     39.86             84         6              0       14504
    Tillakaratne Dilshan                 1153        52        50          114.5        24       140     26.81             76         9              0         105
            Irfan Pathan                 1139       103        82          120.4        37        87     21.49             60         1              0          73
           Vijay Shankar                 1115        72        60          129.8        45        80     25.34             63         6              0        8204
          Matthew Hayden                 1107        32        32         137.52        44       121      36.9             93         8              0         157
             Manan Vohra                 1083        56        51         130.64        43       104      22.1             95         3              0        8358
           Lendl Simmons                 1079        29        29         126.64        44       109     39.96            100        11              1         599
           Sai Sudharsan                 1034        25        25         139.17        31        95      47.0            103         6              1       13866
             Ross Taylor                 1017        55        54         123.72        46        66     25.43             81         3              0         521
           Rahul Tewatia                 1013        93        65         134.71        47        84     25.32             53         1              0        9693
         Kevin Pietersen                 1001        36        36         134.72        40        91     35.75            103         4              1         395
        Moises Henriques                 1000        62        54          126.9        28        87     27.78             74         5              0        1437
           Aiden Markram                  995        44        42         129.73        35        73     30.15             68         5              0        9582
        Heinrich Klaasen                  993        35        32         168.31        64        56     38.19            104         6              1       10209
           Venugopal Rao                  985        65        54         117.82        37        77     22.39             71         3              0         412
          Andrew Symonds                  974        39        37         129.87        41        74     36.07            117         5              1          39
            Albie Morkel                  974        91        68         141.98        55        61     24.35             73         3              0         484
        Liam Livingstone                  939        39        39         162.46        66        66     28.45             94         6              0       10045
              Ben Stokes                  935        45        44         133.95        32        81     24.61            107         2              2        6557
            Devon Conway                  924        23        22         141.28        30        99     48.63             92         9              0        9838
             Rinku Singh                  893        45        40         143.34        46        67     30.79             67         4              0       10896
        Herschelle Gibbs                  886        36        36         109.79        31        83     27.69             69         6              0         212
              Sam Curran                  883        59        48         136.48        37        74     25.23             63         5              0       10420
            Stuart Binny                  880        95        68         128.84        35        66     19.13             48         0              0        1530
         Harbhajan Singh                  833       163        90         137.91        42        79     15.15             64         1              0          75
     Ravichandran Ashwin                  800       211        94         118.52        28        61     13.33             50         1              0        1593
           Rajat Patidar                  799        27        24         158.85        54        51     34.74            112         7              1       10636
         Manvinder Bisla                  798        39        39         113.68        23        93      21.0             92         4              0        1901
