

 ********* STATS AS OF 10/07/2024***********


 **** Highest T20i Batting Average (minm 500 runs) ****
              Player Name     Batting Average   Matches   Innings      Runs   Batting S.R.  Hundreds   Fifties     Fours     Sixes  Profile-ID        Country
     Tillakaratne Dilshan               28.19        80        79      1889         120.47         1        13       223        33         105      Sri Lanka
               Ben Cooper               28.16        57        55      1239         124.77         0         9       118        38        9532    Netherlands
             Yuvraj Singh               28.02        58        51      1177         136.38         0         8        77        74          69          India
             Meet Bhavsar                28.0        54        52      1316          133.2         0        10       108        46       15444         Kuwait
              Chris Gayle               27.93        79        75      1899         137.51         2        14       158       124         247    West Indies
           Shikhar Dhawan               27.92        68        66      1759         126.36         0        11       191        50        1446          India
           Tristan Stubbs               27.85        31        25       557         137.87         0         2        45        25       19243   South Africa
        Hazratullah Zazai               27.83        44        44      1141         132.83         1         3       108        65       12068    Afghanistan
           Dinesh Nakrani               27.81        59        49       890         128.61         0         3        59        56       19517         Uganda
          Pathum Nissanka                27.8        54        53      1418         118.76         0        11       145        32       13682      Sri Lanka
           Angelo Mathews               27.76        90        73      1416         120.51         0         6        92        50        1629      Sri Lanka
           Craig Williams               27.76        35        33       805          112.9         0         6        69        23        7970        Namibia
             Paras Khadka               27.55        33        32       799         128.25         1         4        82        26        9958          Nepal
         Karabo Motlhanka               27.45        38        37       906         109.95         0         6        98        18       15355       Botswana
           Gautam Gambhir               27.41        37        36       932         119.03         0         7       109        10         308          India
            Hardik Pandya                27.4       103        80      1562         142.78         0         4       116        81        9647          India
        Ravinderpal Singh               27.29        35        30       655         145.23         1         1        46        33       14807         Canada
            Michael Swart               27.23        25        24       599         114.97         0         4        50        16        7962    Netherlands
               Aqib Ilyas               27.14        56        55      1330         121.79         0        10       125        44       12235           Oman
              Kamran Khan                27.1        32        30       786         137.65         0         6        70        46       15609          Qatar
           Nikolaas Davin               27.03        36        36       919         137.16         0         5       100        32       10780        Namibia
                Yasir Ali               26.96        38        36       755         100.27         0         4        58        23       14746          Spain
              Rakep Patel               26.96        78        65      1375         134.67         0         7        99        81        1434          Kenya
            Towhid Hridoy               26.91        30        27       619         128.42         0         2        43        26       13223     Bangladesh
               Assad Vala               26.89        57        54      1237         118.37         0         8       113        37       10120      Papua New
             Bas de Leede               26.81        38        35       697         103.87         0         4        52        18       13273    Netherlands
                Shai Hope               26.79        34        32       750         137.61         0         4        55        41       10384    West Indies
              Usman Patel               26.74        49        46       936         131.65         1         6        90        33       17719         Kuwait
           Malcolm Waller               26.65        31        31       613         138.37         0         1        42        28        1738       Zimbabwe
          Noor Ali Zadran               26.64        22        22       586         100.86         0         4        53         9        3010    Afghanistan
          Mohammad Hafeez               26.46       119       108      2514         122.04         0        14       251        76         360       Pakistan
             Kushal Malla               26.45        46        42       873         147.72         1         4        47        65       15400          Nepal
           Dinesh Karthik               26.38        60        48       686         142.62         0         1        71        28         145          India
          Zeeshan Maqsood               26.33        72        62      1369         119.15         1         5       137        49       10466           Oman
           AB de Villiers               26.12        78        75      1672         135.17         0        10       140        60         370   South Africa
                Ryan Burl               26.11        77        70      1175         116.92         0         2        76        49        8454       Zimbabwe
           Daryl Mitchell               25.92        67        63      1296         138.02         0         7        91        47       10713    New Zealand
   Surendran Chandramohan               25.76        47        45      1056          121.1         1         5        98        47       15531      Singapore
           Kushal Bhurtel               25.69        50        49      1156         127.03         1         8       115        49       11290          Nepal
             Ishan Kishan               25.68        32        32       796         124.38         0         6        79        36       10276          India
            Imal Liyanage               25.58        30        27       614         115.85         0         3        71        13       15829          Qatar
              Ross Taylor               25.45       102        94      1909         122.37         0         7       122        71         521    New Zealand
       Hamilton Masakadza                25.4        65        65      1600         116.28         0        10       148        61         425       Zimbabwe
              Usman Ghani               25.35        35        34       786         107.23         0         4        76        21        9855    Afghanistan
              Tim Seifert               25.31        61        58      1291         134.76         0         9       111        58        9443    New Zealand
           Kieron Pollard               25.31       101        83      1569         135.14         0         6        94        99         657    West Indies
               Ahmad Faiz               25.24        81        69      1590         123.64         1         6       124        60       12727       Malaysia
              Ronak Patel               25.16        42        39       805         103.34         0         4        96         8       19506         Uganda
            Rovman Powell                25.1        80        69      1456         143.59         1         6        82        98       11445    West Indies
           Manpreet Singh               25.09        40        38       878          127.8         0         5        48        37       14013      Singapore
              Aaron Jones               24.92        36        33       598         113.04         0         2        33        31       14730  United States
             Steven Smith               24.86        67        55      1094         125.46         0         5        96        26        2250      Australia
            Sikandar Raza               24.84        91        87      2037         133.31         0        14       153        96        9354       Zimbabwe
           Shaheryar Butt               24.43        30        29       562         125.17         0         1        39        36       14850        Belgium
            Benjamin Ward               24.42        40        32       586         131.98         0         1        35        31       15566         Jersey
            Anshuman Rath                24.4        52        51      1098         110.35         0         4       112        13       10035      Hong Kong
           Iftikhar Ahmed               24.34        66        55       998         129.11         0         4        67        44       10799       Pakistan
               Finn Allen               24.28        47        47      1141         158.69         2         4        99        78       11172    New Zealand
           Muhammad Usman               24.21        30        27       581         117.14         0         3        43        16       12745    United Arab
        Bhanuka Rajapaksa               24.21        37        33       678         133.73         0         3        57        30        7869      Sri Lanka
           Corey Anderson               24.03        42        35       697         126.04         0         3        40        35        8982  United States
              David Wiese                24.0        54        40       624         127.87         0         3        35        30        8589        Namibia
            Mohammad Naim               23.97        35        35       815         103.43         0         4        76        17       13281     Bangladesh
         Charith Asalanka               23.89        50        50      1075         126.17         0         5        70        53       10934      Sri Lanka
